modern_name,ayurvedic_names/0,ayurvedic_names/1,ayurvedic_names/2,doshic_imbalance/primary,doshic_imbalance/secondary/0,doshic_imbalance/secondary/1,description,formulations/0/name,formulations/0/common_name,formulations/0/rasa_guna_virya_vipaka/rasa/0,formulations/0/rasa_guna_virya_vipaka/guna/0,formulations/0/rasa_guna_virya_vipaka/guna/1,formulations/0/rasa_guna_virya_vipaka/virya,formulations/0/rasa_guna_virya_vipaka/vipaka,formulations/0/contraindications/0,formulations/0/contraindications/1,formulations/0/benefits/0,formulations/1/name,formulations/1/common_name,formulations/1/rasa_guna_virya_vipaka/rasa/0,formulations/1/rasa_guna_virya_vipaka/rasa/1,formulations/1/rasa_guna_virya_vipaka/guna/0,formulations/1/rasa_guna_virya_vipaka/guna/1,formulations/1/rasa_guna_virya_vipaka/virya,formulations/1/rasa_guna_virya_vipaka/vipaka,formulations/1/contraindications/0,formulations/1/contraindications/1,formulations/1/benefits/0,formulations/2/name,formulations/2/common_name,formulations/2/rasa_guna_virya_vipaka/rasa/0,formulations/2/rasa_guna_virya_vipaka/guna/0,formulations/2/rasa_guna_virya_vipaka/guna/1,formulations/2/rasa_guna_virya_vipaka/virya,formulations/2/rasa_guna_virya_vipaka/vipaka,formulations/2/contraindications/0,formulations/2/contraindications/1,formulations/2/benefits/0,warning,formulations/0/rasa_guna_virya_vipaka/rasa/1,formulations/2/rasa_guna_virya_vipaka/rasa/1,formulations/2/contraindications/2,formulations/0/rasa/0,formulations/0/guna/0,formulations/0/guna/1,formulations/0/virya,formulations/0/vipaka,formulations/1/rasa/0,formulations/1/rasa/1,formulations/1/guna/0,formulations/1/guna/1,formulations/1/virya,formulations/1/vipaka,formulations/2/rasa/0,formulations/2/rasa/1,formulations/2/guna/0,formulations/2/guna/1,formulations/2/virya,formulations/2/vipaka,references/0,references/1,references/2,references/3,formulations/0/rasa/1,formulations/0/rasa_guna_virya_vipaka/rasa/2,doshic_imbalance/secondary/2,formulations/2/rasa_guna_virya_vipaka/rasa/2,formulations/1/rasa_guna_virya_vipaka/rasa/2,formulations/0/scientific_name,formulations/1/scientific_name,formulations/2/scientific_name
Alcoholic hepatitis,Madatyaya,Yakrit Vikara,,Pitta,Kapha,,The Ayurvedic texts like Charaka Samhita and Bhavaprakasha mention the efficacy of certain herbs in managing alcoholic hepatitis.,Kutki,Picrorhiza kurroa,"Tikta (Bitter), Kashaya (Astringent)","Laghu (Light), Ruksha (Dry)",,Sheeta (Cold),Katu (Pungent),Individuals with severe constipation,Pregnancy,"Its bitter principles are known to stimulate liver function, aiding in the regeneration of liver cells damaged by alcohol consumption",Punarnava,Boerhavia diffusa,"Tikta (Bitter), Kashaya (Astringent)",,"Laghu (Light), Ruksha (Dry)",,Ushna (Hot),Katu (Pungent),Pregnancy,Individuals with kidney disease,It aids in detoxification and may help alleviate symptoms associated with alcoholic hepatitis,,,,,,,,,,,Use under the supervision of an Ayurvedic practitioner. Not recommended for pregnant women or patients with advanced liver failure without medical advice.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GERD,Amlapitta,,,Pitta,Vata,Kapha,"GERD (Gastroesophageal Reflux Disease) is a chronic condition where stomach acid flows back into the esophagus, leading to symptoms like heartburn, chest pain, regurgitation, and difficulty swallowing.",Shatavari,Shatavari Powder,"Madhura (Sweet), Tikta (Bitter)","Guru (Heavy), Snigdha (Unctuous)",,Sheetala (Cooling),Madhura (Sweet),Individuals with excessive Kapha or congestion,,"Shatavari (Asparagus racemosus) is known for its 'Pittashamaka' (pacifying Pitta dosha) properties and its soothing effects on the digestive system. It may help alleviate symptoms associated with GERD, such as heartburn and acid reflux.",Yashtimadhu,Licorice Powder,Madhura (Sweet),,"Guru (Heavy), Snigdha (Unctuous)",,Sheeta (Cooling),Madhura (Sweet),"Individuals with hypertension, kidney disorders, or excessive potassium levels",,"Yashtimadhu (Glycyrrhiza glabra, licorice) is referred to as 'madyasava' in Ashtanga Hridaya, indicating its soothing properties on the stomach lining. It may aid in reducing acidity and inflammation in GERD.",Triphala Churna,Triphala Powder,"Katu (Pungent), Tikta (Bitter), Kashaya (Astringent)","Ruksha (Dry), Laghu (Light)",,Ushna (Hot),Katu (Pungent),Individuals with excessive Vata imbalance or diarrhea,,"Triphala, a combination of three fruits (Amla, Haritaki, Bibhitaki), mentioned in Ashtanga Hridaya, is known for its digestive benefits. It might help in regulating digestion and reducing acid reflux associated with GERD.",Use under the supervision of a qualified Ayurvedic practitioner. Individuals with underlying health conditions should consult a healthcare provider before use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hepatitis E,Kamala,Yakrit Vikara,,Pitta,Kapha,,"Ayurvedic texts like Charaka Samhita and Bhavaprakasha highlight the use of certain herbs and formulations for managing Hepatitis E. It is a viral infection that causes inflammation of the liver, leading to symptoms like jaundice, fatigue, loss of appetite, nausea, and abdominal pain.",Punarnava,Boerhavia diffusa,"Tikta (Bitter), Katu (Pungent)","Guru (Heavy), Snigdha (Unctuous)",,Sheeta (Cold),Katu (Pungent),Pregnancy,Individuals with renal disorders,"Punarnava is traditionally used for its hepatoprotective and detoxifying properties. It is known for 'yakritpleehahara' effects, aiding in liver and spleen health, which makes it suitable for supporting recovery from Hepatitis E.",Kutki,Picrorhiza kurroa,Tikta (Bitter),,"Laghu (Light), Ruksha (Dry)",,Sheeta (Cold),Katu (Pungent),Pregnancy,Individuals with hypoglycemia,"Kutki is well-regarded in Ayurveda for its potent liver protective action. It supports liver detoxification, aids bile secretion, and may help regenerate damaged liver tissues, making it beneficial in conditions like Hepatitis E.",,,,,,,,,,,Should be used under medical supervision. Individuals with underlying health conditions or on medication should consult a healthcare provider before using these herbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migraine,Ardhavabhedaka,,,Vata,Pitta,Kapha,"Migraine is a neurological condition characterized by recurring headaches, often accompanied by nausea, sensitivity to light or sound, and in some cases, visual disturbances.",Shankhapushpi,Shankhapushpi Powder,"Tikta (Bitter), Madhura (Sweet)","Laghu (Light), Snigdha (Unctuous)",,Sheeta (Cooling),Madhura (Sweet),Individuals with low blood pressure or hypotension,,"Shankhapushpi (Convolvulus pluricaulis) is described for its calming and nervine tonic properties, which are believed to help alleviate symptoms associated with migraine, such as headaches and stress-related factors.",Jatamansi,Jatamansi Powder,"Tikta (Bitter), Kashaya (Astringent)",,"Laghu (Light), Snigdha (Unctuous)",,Sheeta (Cooling),Katu (Pungent),Pregnant or breastfeeding women,Individuals with extremely low blood pressure,"Jatamansi (Nardostachys jatamansi) is recommended in Ashtanga Hridaya for its 'medhya' (brain tonic) properties, indicating its potential in managing neurological disorders like migraines and associated symptoms.",Dashamoola Kwatha,Dashamoola Decoction,"Tikta (Bitter), Kashaya (Astringent)","Guru (Heavy), Snigdha (Unctuous)",,Sheeta (Cooling),Katu (Pungent),Individuals with excessive congestion or respiratory issues,,"Dashmoola Kwatha, a decoction of ten roots, is mentioned as a therapeutic measure for migraines in Ashtanga Hridaya. Its analgesic and anti-inflammatory properties are believed to assist in reducing the intensity and frequency of migraine attacks.","Consult an Ayurvedic practitioner before use, especially for individuals with underlying health conditions or those on medication for neurological disorders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peptic ulcer disease,Parinama Shula,Amlapitta,,Pitta,Vata,Kapha,"Peptic ulcers are open sores that develop on the inner lining of the stomach, upper small intestine, or esophagus. They can cause burning stomach pain, bloating, nausea, and in severe cases, bleeding or perforation.",Shatavari,Shatavari Powder,"Madhura (Sweet), Tikta (Bitter)","Guru (Heavy), Snigdha (Unctuous)",,Sheetala (Cooling),Madhura (Sweet),Individuals with excessive Kapha or congestion,,Shatavari (Asparagus racemosus) is valued for its 'Pittashamaka' (Pitta pacifying) and mucosal healing properties. It helps soothe the gastric mucosa and reduce acid-induced inflammation.,Yashtimadhu,Licorice Powder,Madhura (Sweet),,"Guru (Heavy), Snigdha (Unctuous)",,Sheeta (Cooling),Madhura (Sweet),"Individuals with hypertension, kidney disorders, or excessive potassium levels",,Yashtimadhu (Glycyrrhiza glabra) is recognized for its gastroprotective and anti-inflammatory properties. It forms a protective film over ulcers and supports healing of the stomach lining.,Triphala Churna,Triphala Powder,"Katu (Pungent), Tikta (Bitter), Kashaya (Astringent)","Ruksha (Dry), Laghu (Light)",,Ushna (Hot),Katu (Pungent),Individuals with excessive Vata imbalance or diarrhea,,"Triphala is a traditional Ayurvedic blend known for its detoxifying and digestive benefits. It helps regulate digestion and reduces toxic buildup, potentially supporting ulcer healing.",Consult a qualified Ayurvedic practitioner before use. Some formulations may not be suitable for individuals with existing health conditions or those on conventional ulcer medications.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urinary Tract Infection,Mutrakrichra,Prameha,,Pitta,Vata,Kapha,"A Urinary Tract Infection (UTI) is an infection in any part of the urinary system, including the kidneys, ureters, bladder, and urethra. It often causes a burning sensation during urination, frequent urges to urinate, cloudy or bloody urine, and pelvic pain.",Gokshura,Gokshura Capsules,"Madhura (Sweet), Tikta (Bitter)","Guru (Heavy), Snigdha (Unctuous)",,Sheeta (Cooling),Madhura (Sweet),Pregnant women,Individuals with fluid retention or kidney diseases,"Gokshura (Tribulus terrestris) is known for its diuretic and anti-inflammatory effects in Ayurveda, which may help reduce urinary tract discomfort and support kidney function.",Chandraprabha Vati,Chandraprabha Tablets,"Tikta (Bitter), Katu (Pungent)",,"Laghu (Light), Snigdha (Unctuous)",,Sheeta (Cooling),Katu (Pungent),Individuals with diabetes,,Chandraprabha Vati is a classical formulation used in Ayurveda to manage urinary disorders. It supports the healthy function of the urinary system and helps in alleviating inflammation and infection symptoms.,Punarnavadi Kashayam,Punarnavadi Decoction,"Tikta (Bitter), Kashaya (Astringent)","Laghu (Light), Ruksha (Dry)",,Sheeta (Cooling),Katu (Pungent),Pregnant or breastfeeding women,,Punarnavadi Kashayam is a decoction recommended for urinary issues in Ayurveda. It has detoxifying and anti-inflammatory properties that may support urinary tract health and reduce infection.,"Always consult a qualified Ayurvedic practitioner before starting any herbal remedy, especially in cases of chronic UTI or concurrent medical conditions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chickenpox,Laghu Masurika,Tiktakusta,Visarpa,Pitta,Vata,Kapha,"Chickenpox is a highly contagious viral infection characterized by an itchy rash, fever, and fluid-filled blisters. It is caused by the varicella-zoster virus (VZV).",Neem,Neem Leaves,"Tikta (Bitter), Kashaya (Astringent)","Laghu (Light), Ruksha (Dry)",,Sheeta (Cool),Katu (Pungent),Pregnant or breastfeeding women,,"Neem (Azadirachta indica) is described in Ayurvedic texts for its 'krimighna' (anti-microbial), 'kandughna' (anti-pruritic), and 'vrana ropana' (wound-healing) properties, which help in alleviating itching and skin eruptions associated with chickenpox.",Haridra,Turmeric Powder,"Tikta (Bitter), Katu (Pungent)",,"Laghu (Light), Ruksha (Dry)",,Ushna (Hot),Katu (Pungent),Individuals with gallbladder issues or bile duct obstruction,,Haridra (Curcuma longa) is known for its 'shothahara' (anti-inflammatory) and 'krimighna' (antimicrobial) actions. It helps in managing skin infections and supports healing of skin lesions.,Gandhak Rasayana,Sulfur Preparation,Katu (Pungent),"Laghu (Light), Snigdha (Unctuous)",,Sheeta (Cool),Katu (Pungent),Pregnant or breastfeeding women,Individuals with hypersensitivity to sulfur,"Gandhak Rasayana is a classical Ayurvedic preparation known for its skin-rejuvenating, detoxifying, and anti-inflammatory properties. It is traditionally used in managing infectious skin conditions including chickenpox.","Always consult a qualified Ayurvedic practitioner before beginning any herbal treatment, especially in cases involving children or during pregnancy.",,,,,,,,,,,,,,,,,,,,,Charaka Samhita,Sushruta Samhita,Bhavaprakasha,,,,,,,,,
Bronchial Asthma,Tamaka Shwasa,Shwasa Roga,,Vata,Kapha,Pitta,"Bronchial asthma is a chronic respiratory condition characterized by inflammation and narrowing of the airways, leading to wheezing, coughing, shortness of breath, and chest tightness.",Vasa (Adhatoda vasica),Vasa Leaf Extract,"Tikta (Bitter), Kashaya (Astringent)","Laghu (Light), Ruksha (Dry)",,Sheeta (Cooling),Katu (Pungent),Pregnancy and breastfeeding,Individuals with low blood pressure,,Trikatu Churna,Trikatu Powder,Katu (Pungent),,"Laghu (Light), Ruksha (Dry)",,Ushna (Hot),Katu (Pungent),Individuals with hyperacidity or gastric ulcers,,,Sitopaladi Churna,Sitopaladi Powder,"Madhura (Sweet), Katu (Pungent)","Guru (Heavy), Snigdha (Unctuous)",,Sheeta (Cooling),Madhura (Sweet),Individuals with diabetes or high blood sugar,,,,,,,,,,,,,,,,,,,,,,,,"As per Ayurvedic texts, the use of Trikatu, Vasa, and Sitopaladi has been advocated for the management of bronchial asthma.","Trikatu, a blend of ginger, black pepper, and long pepper, is mentioned in various Ayurvedic texts like Charaka Samhita and Ashtanga Hridaya. It is known for its 'deepana' (digestive stimulant) and 'kaphaghna' (reducing Kapha dosha) properties, which could help in clearing respiratory passages and reducing congestion, often associated with asthma.",Vasa (Adhatoda vasica) is extensively documented in Ayurvedic texts such as Charaka Samhita and Bhavaprakasha. Its 'kaphaghna' and 'shwasahara' (alleviating breathing difficulties) properties are believed to assist in bronchial asthma by reducing inflammation and supporting better breathing.,"Sitopaladi, a classical Ayurvedic formulation, is mentioned in texts like Bhaishajya Ratnavali. It contains ingredients like sugar, bamboo manna, cardamom, and cinnamon. It's known for its 'kaphaghna' and 'shwasahara' properties, which may aid in alleviating symptoms of bronchial asthma.",,,,,,,,
Cervical Spondylosis,Griva Sandhigata Vata,,,Vata,Kapha,Pitta,"Cervical spondylosis is a degenerative condition affecting the neck, resulting in neck pain, stiffness, and reduced mobility. It's caused by age-related changes in the spine, such as bone spurs and intervertebral disc degeneration.",Maharasnadi Kwath,Maharasnadi Decoction,"Tikta (Bitter), Kashaya (Astringent)","Laghu (Light), Ruksha (Dry)",,Sheeta (Cooling),Katu (Pungent),Individuals with very low body weight or weakness,,,Brihat Trayodashanga Guggulu,Brihat Trayodashanga Guggulu Tablets,"Tikta (Bitter), Katu (Pungent)",,"Laghu (Light), Snigdha (Unctuous)",,Ushna (Hot),Katu (Pungent),Pregnant or breastfeeding women,Individuals with hyperacidity or gastric ulcers,,Sahacharadi Taila,Sahacharadi Oil,"Tikta (Bitter), Katu (Pungent)","Snigdha (Unctuous), Guru (Heavy)",,Sheeta (Cooling),Katu (Pungent),Individuals with skin allergies or hypersensitivity,,,,,,,,,,,,,,,,,,,,,,,,"Ashtanga Hridaya mentions the usage of Maharasandi Kwath for musculoskeletal disorders like cervical spondylosis. It contains herbs like Rasna, Guduchi, and Ashwagandha, known for their anti-inflammatory and analgesic properties, helpful in reducing pain and inflammation associated with cervical spondylosis.","Brihat Trayodashanga Guggulu is recommended in ancient texts like Charaka Samhita for its efficacy in managing Vata disorders. Its combination of various herbs like Guggulu, Shunthi, and Gokshura may help in relieving symptoms of cervical spondylosis by pacifying aggravated Vata dosha and supporting joint health.","Sahacharadi Taila, described in texts like Sushruta Samhita, is an herbal oil containing ingredients like Sahachara (Strobilanthes ciliatus) and Bala (Sida cordifolia). Its application in the affected area is believed to provide relief from pain and stiffness associated with cervical spondylosis.",,,,,,,,,
Osteoarthritis,Sandhivata,Sandhigata Vata,,Vata,Kapha,,"Osteoarthritis is a degenerative joint disease characterized by the breakdown of cartilage, leading to pain, stiffness, swelling, and limited joint movement. It commonly affects the hands, knees, hips, and spine.",Guggulu (Commiphora mukul),Guggul,"Tikta (Bitter), Katu (Pungent)","Laghu (Light), Snigdha (Unctuous)",,Ushna (Hot),Katu (Pungent),Pregnant or breastfeeding women,Individuals with bleeding disorders,,Ashwagandha (Withania somnifera),Ashwagandha Powder,"Katu (Pungent), Tikta (Bitter)",,"Laghu (Light), Snigdha (Unctuous)",,Ushna (Hot),Katu (Pungent),Individuals with hyperthyroidism,,,Triphala Churna,Triphala Powder,"Katu (Pungent), Tikta (Bitter), Kashaya (Astringent)","Ruksha (Dry), Laghu (Light)",,Sheeta (Cooling),Katu (Pungent),Individuals with excessive dryness or dehydration,,,,,,,,,,,,,,,,,,,,,,,,Ashtanga Hridaya and Charaka Samhita mention the use of the following herbs for managing osteoarthritis:,"Guggulu (Commiphora mukul) is described for its 'sandhivatahara' property in Ayurveda, indicating its effectiveness in alleviating joint-related disorders like osteoarthritis.","Triphala Churna, consisting of three fruits - Amalaki (Emblica officinalis), Bibhitaki (Terminalia bellirica), and Haritaki (Terminalia chebula), is known for its 'vatahar' properties that may help in reducing pain and inflammation associated with osteoarthritis.","Ashwagandha (Withania somnifera) is mentioned in Charaka Samhita as 'balya' and 'shothahara', indicating its role in providing strength and alleviating inflammation, which might aid in managing osteoarthritis symptoms.",,,,,,,,
Dengue,Dandaka Jwara,Visarpa,,Pitta,Vata,Kapha,"Dengue is a mosquito-borne viral infection that causes flu-like symptoms, including high fever, severe joint pain, muscle pain, headache, and rash. It is transmitted by the Aedes mosquitoes.",Papaya Leaf Extract,Papaya Leaf Juice,Tikta (Bitter),"Laghu (Light), Ruksha (Dry)",,Sheeta (Cooling),Katu (Pungent),Pregnant or breastfeeding women,,,Giloy (Tinospora cordifolia),Giloy Stem Powder,Tikta (Bitter),,"Laghu (Light), Snigdha (Unctuous)",,Sheeta (Cooling),Madhura (Sweet),Individuals with excessively low blood sugar,,,Tulsi (Ocimum sanctum),Tulsi Leaves,"Tikta (Bitter), Katu (Pungent)","Laghu (Light), Ruksha (Dry)",,Sheeta (Cooling),Katu (Pungent),Pregnant or breastfeeding women,,,,,,,,,,,,,,,,,,,,,,,,Ayurvedic texts such as Charaka Samhita and Bhavaprakasha emphasize the efficacy of Giloy (Tinospora cordifolia) and Tulsi (Ocimum sanctum) in managing dengue fever.,"Giloy, known as 'Amrita' in Ayurveda, possesses 'jwara-hara' properties, which aid in reducing fever, boosting immunity, and combating infections, as mentioned in various sections of Charaka Samhita.","Tulsi, revered for its 'jwaraghna' (fever-reducing) and 'vishaghna' (antidote) properties in Bhavaprakasha, is considered beneficial in alleviating symptoms associated with dengue and aiding recovery.",,,,,,,,,
Hepatitis B,Yakrit Vikara,,,Pitta,Kapha,Vata,"Hepatitis B is a viral liver infection caused by the Hepatitis B virus. It can lead to both acute and chronic liver disease, causing symptoms such as jaundice, fatigue, abdominal pain, nausea, and in chronic cases, liver cirrhosis or cancer.",Kalmegh (Andrographis paniculata),Kalmegh Extract,Tikta (Bitter),"Laghu (Light), Ruksha (Dry)",,Ushna (Hot),Katu (Pungent),Pregnant or breastfeeding women,Individuals with bleeding disorders,,Bhringraj (Eclipta alba),Bhringraj Oil,Tikta (Bitter),,"Laghu (Light), Snigdha (Unctuous)",,Sheeta (Cooling),Katu (Pungent),Excessive cold conditions,,,Arogyavardhini Vati,Arogyavardhini Tablets,"Tikta (Bitter), Katu (Pungent)","Laghu (Light), Snigdha (Unctuous)",,Sheeta (Cooling),Katu (Pungent),"High blood pressure, hyperacidity, and gastritis",,,,,,,,,,,,,,,,,,,,,,,,Bhavaprakasha and Charaka Samhita mention the use of the following herbs and remedy for managing Hepatitis B:,"Kalmegha (Andrographis paniculata) is acknowledged in Bhavaprakasha for its 'jvarahara' property, which means it has fever-reducing and antiviral properties that might assist in managing Hepatitis B, among other conditions.","Bringraj (Eclipta alba) is referenced in Charaka Samhita for its 'yakritottejaka' property, indicating its potential in promoting liver health, which might be beneficial in Hepatitis B management.","Arogyavardhini Vati, a classical Ayurvedic formulation, is recommended in Bhavaprakasha for its 'yakridushanashini' property, suggesting its role in detoxifying and supporting liver function, potentially aiding in Hepatitis B treatment.",,,,,,,,
Pneumonia,Shvasa Kasa,,,Kapha,Vata,Pitta,"Pneumonia is an infection that inflames the air sacs in one or both lungs. The air sacs may fill with fluid or pus, causing symptoms such as cough with phlegm or pus, fever, chills, and difficulty breathing.",Kantakari (Solanum xanthocarpum),Kantakari Extract,"Katu (Pungent), Tikta (Bitter)","Laghu (Light), Ruksha (Dry)",,Ushna (Hot),Katu (Pungent),Individuals with hyperacidity or ulcers,,,Vasa (Adhatoda vasica),Vasa Leaves,Tikta (Bitter),,"Laghu (Light), Ruksha (Dry)",,Sheeta (Cooling),Katu (Pungent),Pregnant or breastfeeding women,Individuals with hypoglycemia,,Talisadi Churna,Talisadi Powder,"Madhura (Sweet), Katu (Pungent)","Guru (Heavy), Snigdha (Unctuous)",,Ushna (Hot),Madhura (Sweet),Individuals with diabetes or high blood sugar levels,,,,,,,,,,,,,,,,,,,,,,,,Ashtanga Hridaya and Charaka Samhita mention the efficacy of the following herbs and formulation in the treatment of pneumonia:,"Kantakari (Solanum xanthocarpum) is described for its 'kapha-shamaka' (balancing Kapha dosha) properties, believed to aid in respiratory ailments like pneumonia by reducing congestion and facilitating easy breathing.","Vasa (Adhatoda vasica) is referred to as 'shwasa-kasa-hara' in Ayurveda, indicating its effectiveness in managing respiratory disorders, including pneumonia, by its expectorant and bronchodilator actions.","Talisadi Churna, a formulation mentioned in Ashtanga Hridaya, contains ingredients like Talisa (Abies webbiana) and other herbs. It is known for its effectiveness in respiratory conditions like pneumonia, helping to relieve cough and congestion.",,,,,,,,
Varicose Veins,Sira Granthi,,,Vata,Pitta,Kapha,"Varicose veins are enlarged, twisted veins that often appear blue or dark purple, commonly occurring in the legs. They may cause discomfort, pain, or aching, especially after prolonged standing or sitting.",Guggulu (Commiphora mukul),Guggul,"Tikta (Bitter), Katu (Pungent)","Laghu (Light), Snigdha (Unctuous)",,Ushna (Hot),Katu (Pungent),Pregnant or breastfeeding women,Individuals with bleeding disorders,,Manjistha (Rubia cordifolia),Manjistha Powder,Tikta (Bitter),,"Laghu (Light), Ruksha (Dry)",,Sheeta (Cooling),Katu (Pungent),Individuals prone to kidney stones,,,Punarnava (Boerhavia diffusa),Punarnava Extract,"Katu (Pungent), Tikta (Bitter)","Laghu (Light), Ruksha (Dry)",,Ushna (Hot),Katu (Pungent),Individuals with kidney diseases or edema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypothyroidism,Kshaya,,,Kapha,Vata,Pitta,"Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormones. It leads to symptoms like fatigue, weight gain, dry skin, constipation, and feeling cold.",Guggulu (Commiphora mukul),Guggul,"Tikta (Bitter), Katu (Pungent)","Laghu (Light), Snigdha (Unctuous)",,Ushna (Hot),Katu (Pungent),Pregnant or breastfeeding women,Individuals with bleeding disorders,Described in Charaka Samhita for 'lekhaniya' (scraping) properties to help manage weight gain and balance thyroid function.,Kanchanar Guggulu,Kanchanar Guggulu Tablets,"Tikta (Bitter), Katu (Pungent)",,"Laghu (Light), Ruksha (Dry)",,Ushna (Hot),Katu (Pungent),Individuals with constipation or stomach ulcers,,"Mentioned in Ashtanga Hridaya for its 'medohara' (fat-reducing) properties, useful in goiter and hypothyroidism management.",Shigru (Moringa oleifera),Moringa Leaves,Tikta (Bitter),"Laghu (Light), Ruksha (Dry)",,Ushna (Hot),Katu (Pungent),Pregnant or breastfeeding women,Individuals with liver disorders,"Cited in Bhavaprakasha for its 'deepana' (digestive) properties, supporting improved digestion and metabolism in hypothyroidism.",,,,,,,,,,,,,,,,,,,,,,Charaka Samhita,Ashtanga Hridaya,Bhavaprakasha,,,,,,,,,
